GEO_ID,NAME,B08301_001E,B08301_001M,B08301_002E,B08301_002M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_005E,B08301_005M,B08301_006E,B08301_006M,B08301_007E,B08301_007M,B08301_008E,B08301_008M,B08301_009E,B08301_009M,B08301_010E,B08301_010M,B08301_011E,B08301_011M,B08301_012E,B08301_012M,B08301_013E,B08301_013M,B08301_014E,B08301_014M,B08301_015E,B08301_015M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
06037311700,Census Tract 3117; Los Angeles County; California,3542,742,2195,418,2178,412,17,27,0,19,17,27,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,66,60,0,19,1281,535
06037311801,Census Tract 3118.01; Los Angeles County; California,1653,190,1128,164,1068,161,60,44,50,41,10,16,0,13,0,13,0,13,84,74,52,69,0,13,32,29,0,13,0,13,0,13,0,13,5,8,52,57,0,13,384,154
06037311802,Census Tract 3118.02; Los Angeles County; California,2625,704,1757,490,1626,491,131,88,76,70,55,54,0,13,0,13,0,13,53,35,53,35,0,13,0,13,0,13,0,13,0,13,0,13,9,15,87,95,0,13,719,598
06037320101,Census Tract 3201.01; Los Angeles County; California,1792,304,1637,301,1342,289,295,148,164,69,6,9,96,131,29,31,0,13,65,48,42,39,0,13,0,13,0,13,23,35,0,13,8,13,0,13,0,13,16,26,66,45
06037320102,Census Tract 3201.02; Los Angeles County; California,1722,298,1499,247,1113,200,386,149,261,118,125,76,0,13,0,13,0,13,25,30,25,30,0,13,0,13,0,13,0,13,28,32,0,13,0,13,30,34,18,29,122,85
06037320201,Census Tract 3202.01; Los Angeles County; California,1736,675,1512,659,1195,572,317,202,155,88,48,62,114,164,0,13,0,13,102,81,102,81,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,65,49,60,16,19
06037320202,Census Tract 3202.02; Los Angeles County; California,3288,630,2970,648,2579,642,391,191,319,181,39,45,25,36,8,17,0,19,72,69,72,69,0,19,0,19,0,19,0,19,0,19,0,19,0,19,40,62,72,70,134,84
06037320300,Census Tract 3203; Los Angeles County; California,2835,496,2660,498,2328,482,332,141,283,132,49,47,0,19,0,19,0,19,38,44,38,44,0,19,0,19,0,19,0,19,0,19,0,19,12,19,17,28,16,18,92,71
06037400205,Census Tract 4002.05; Los Angeles County; California,1095,216,720,161,646,156,74,78,53,74,0,13,21,34,0,13,0,13,12,15,0,13,0,13,12,15,0,13,0,13,0,13,0,13,0,13,0,13,21,33,342,131
06037400206,Census Tract 4002.06; Los Angeles County; California,2820,485,2007,358,1828,340,179,105,135,97,27,26,12,19,5,10,0,19,123,64,43,56,18,19,62,52,0,19,0,19,0,19,0,19,0,19,8,11,108,118,574,181
